name,description
Arnold Peasegood, Obliviator for the Accidental Magic Reversal Squad in the Ministry of Magic.
Peeves," Also known as Peeves the Poltergeist; He is not a ghost, but according to J.K.R. he is like a bunch of souls in one who want to cause trouble. He likes to throw things around and play pranks on students and teachers. He is only afraid of the Bloody Baron, who can usually control him."
Penfriend," Not an actual name; This refers to the girl that Bill wrote to and invited Bill to come and visit her in Brazil. The Weasley’s could not afford the trip, so she sent Bill a cursed hat the made his ears shrivel up."
Daisy Pennifold," Made up the idea to make the quaffle fall slowly so it will not hit the floor of the quidditch pitch. Now, the modern quaffle is named after her."
Pennyfeather, A student at Hogwarts who’s house in unknown.
Octavius Pepper, A man who vanished in Book 6.
Perkins, A warlock who used to work with Mr. Weasley in the Misuse of Muggle Artifacts office (Mr. Weasley was promoted). He also lent Mr. Weasley tents for the Quidditch world cup.
Sally Perks,Ann
Peter Pettigrew," Supposedly dead, a friend of James Potter when he was a student. He is an animagus; transforming into a rat. After Hogwarts, he joined Lord Voldemort and pretended to be in the Order of the Phoenix. He then betrayed James Potter and his wife, telling Voldemort where they were. He was their secret keeper for where they were hiding (this how he knew where they were). James and Lily were killed, and Voldemort lost his powers due to their son, Harry Potter. He then pretended to by Ron Weasley’s pet rat until Book 3. He was forced to turn into his regular self by Sirius Black, who he framed making it seem that Black betrayed Harry’s parents. He gave his hand to Voldemort for his rebirth. He is the one that found Voldemort and nursed him back to health."
Peverell," A pure blood family who’s coat of arms was on the ring that Marvolo Gaunt showed Ogden inside the pensive. Marvolo Gaunt said that this ring had been in his family for generations, all pure blood."
Arkie Philpott," After tightened up security, this wizard got a probity probe stuck up his —."
Pig, The nickname of Ron’s owl Pigwidgeon.
Pigwidgeon," Ron’s small pet owl who was named by Ginny, nicknamed Pig."
Justus Pilliwickle, Head of the Department of Magical Law Enforcement in the early and middle 20th century.
Madam Irma Pince,The Hogwarts librarian that is said to have relationship with Filch.
Carlotta Pinkstone, Famous for wanting to change the law from the International Confederation of Wizard’s Statute of Secrecy and was for telling muggles about wizards.
Randolphus Pittiman, Wrote about Uric the Oddball.
Yardley Platt, A famous goblin killer.
Roderick Plumpton, The seeker for England’s National Quidditch team and on the Tutshill Tornadoes. He holds the record for the fastest time catching the snitch; 3.5 seconds.
Mirabella Plunkett," Fell in love with a merman, and transformed herself into a paddock when he refused to marry her."
Sir Patrick Delaney Podmore, Leader of the Headless Hunt who keeps declining Nearly Headless Nick into the Headless Hunt.
Sturgis Podmore, A member of the Order of the Phoenix and of the Advanced Guard that went to get Harry from the Dursley’s in Book 5. He is charged with trespassing into the ministry of magic and at attempted Robbery. He is convicted and was sentenced to 6 months in Azkaban.
Gulliver Pokeby, Author of “Why I Didn’t Die When The Augurey Cried” and was on a chocolate frog card for knowing a lot about birds and the first wizard to ever discover what the Augury’s song meant.
Poliakoff," A student from Durmstrang who is ignored by Karkaroff (like the others) because he is busy with the champion Victor Krum. Karkaroff asked Victor Krum if he would like some wine, and he said no. Poliakoff said he would, and Karkaroff yelled at him saying that he did not need any."
Piers Polkiss, A rat faced scrawny boy who is Dudley Dursley’s best friend and in his gang.
Poppy Pomfrey, Known as Madam Pomfrey to students and is the Hogwarts Nurse.
Roddy Pontner, Made a bet with Ludo Bagman at the Quidditch World Cup.
Sir Nicholas de Mimsey Porpington," Another way to say the name of Nearly Headless Nick, the Gryffindor House Ghost. His head is barely connected to him, with about 1/2 an inch of skin; therefore never being let into the headless hunt; which he desires to join. He was hit with a blunt axe 45 times before dying."
Roddy Pontner, Famous quidditch player from Russia.
Albus Severus Potter, Son of Ginny and Harry Potter.
throwing Voldemort to his downfall. A prophecy states that he is the only one who can defeat Voldemort. Harry Potter is also the godson of Sirius Black (that being how he is related to the Blacks when Hagrid came to get him and take him to Hogwarts. He is the only known person to have ever survived the killing curse and grew up with his Aunt and Uncle. He did not know he was a wizard until he was 11 both members of the Order of the Phoenix. He was orphaned when he was about 1 years old and has a lighting bolt scar across his head as a result of the attack of Lord Voldemort. He is the son of Lily and James Potter has circular glasses looks very much like his father James Potter has big green eyes is very skinny Harry James– Harry James Potter is the most important character in the entire Harry Potter series (even the book is named after him!). He has jet black hair Potter, not blood related).
James Sirius Potter, Son of Harry and Ginny Potter.
James Potter," James Potter is the father of Harry Potter. He was a member of the Order of the Phoenix. He was best friends with Sirius Black, Remus Lupin, and Peter Pettigrew when he attended school. He was a bit of a troublemaker in school, landing himself in detention quite a bit. He also played chaser for the Gryffindor quidditch team. His nickname in school was Prongs (by his closest friends) because he could turn into a stag. He along with his wife Lily Potter (below) were murdered by Lord Voldemort in attempt to get to their son; Harry."
Lily Potter, Daughter of Ginny and Harry Potter.
Lily Potter," (maiden name: Lily Evans) Lily Potter is the mother of Harry Potter. She was a member of the Order of the Phoenix and the wife of James Potter (above). She was quite popular in school, and was muggle born. She, like Harry, was in the Slug Club. According to Slughorn, she was good at everything (that had to do with school). Her along with her husband were killed by Lord Voldemort in attempt to get their son, Harry. She would not let Voldemort kill Harry, so he killed her. This made a protective shield around Harry so Voldemort could not kill him. This spell was then broken in Book 4 when Voldemort took Harry’s blood so that he could now kill him."
Nugent Potts, Quidditch referee in 1894 who was hit by an arrow from a fan.
Ernie Prang, The driver of the knight bus.
Fabian Prewett, Was a member of the Order of the Phoenix. It took 5 death eaters to kill him and his brother Gideon. Was the brother of Molly Weasley.
Gideon Prewett, Was a member of the Order of the Phoenix. It took 5 death eaters to kill him and his brother Fabian. Was the brother of Molly Weasley.
Molly Prewett," The maiden name of Molly Weasley (see Weasley, Molly)."
Eileen Prince, The mother of Severus Snape who was a witch.
Apollyon Pringle, The caretaker of Hogwarts when Mrs. and Mr. Weasley attended.
Graham Pritchard, A boy sorted into Slytherin in Book 4.
D. J. Prod, Wrote to quikspell about how he took the quikspell course and how it worked.
Prongs, The nickname of James Potter when he was at school by his friends.
Proudfoot," An auror who is stationed in Hogsmeade along with Tonks, Savage, and Dawlish in Book 6."
Ptolemy, One of the only cards that Ron does not have in his collection (along with Agrippa).
Adrian Pucey, A chaser on the Slytherin Quidditch team.
Madam Puddifoot, Owns a tea shop in Hogsmeade. Her tea shop is a popular place for couples.
Doris Purkiss," The quibbler printed an issue in which she wrote in to; saying that who everybody thought was Sirius Black was actually Stubby Boardman, who was the lead singer in a band called the Hobgoblins."
Augustus Pye, Trainee healer at St. Mungo’s who tried to heal Arthur Weasley. It was him who had the idea of using stitches on Mr. Weasley’s snake bite.
Quigley, Beater for the Irish National Quidditch Team.
Orla Quirke, A girl sorted into Ravenclaw in Book 4.
Quirinus Quirell," Defense Against the Dark Arts teacher in book 1. While traveling he encountered Lord Voldemort. Voldemort possessed his body and had his head in the back of Quirrel’s, He wore a turban to hid Voldemort. Quirell tried to do many things to Harry. He tried to knock him off his broomstick, and let a troll out of the dungeons as a distraction so he could try and get the Sorcerer’s stone. He reached it at the end of Book 1. Harry then got to where he was, and got the sorcerer’s stone. Quirell then tried to attack Harry, but when Harry touched him, Quirell died. Voldemort then escaped his body and fled."
Quong Po, Studied the Chinese fireball dragon and discovered their uses of their powdered eggs.
Modesty Rabnott, Tried to stop Barberus Bragge from using the Golden Snidget; thinking that it was harmful to the bird (which it was). The Modesty Rabnott Golden Snidget Preserve is named after her.
Urquhart Rackharrow, Inventor of the entrail
Radulf, A blacksmith who had to play “catcher” for a local queerditch match after the regular catcher could not go.
Ragnok, A goblin.
Xavier Rastrick, A wizard famous for disappearing while tap dancing who was never seen again.
Helena (The Grey Lady) Ravenclaw," The daughter of Rowena Ravenclaw, she stole her mothers diadem to become more clever and smarter than her mother. Then she was murdered by the Bloody Baron who loved her. The Ravenclaw house ghost now."
Rowena Ravenclaw," One of the founders of Hogwarts who valued intelligence. She had a diadem that was said to make you more clever, this later became one of Voldemort’s horcruxes."
Tom Marvolo Riddle," A Slytherin boy who is heir to Slytherin and who turned into Lord Voldemort. He formed a tight knit group of friends while at Hogwarts that later became his first death eaters. He was probably one of the smarter Hogwarts students ever. He also turned Hagrid in for taking care of the monster in the chamber of secrets, where it was actually him. He then received a special award for services to the school. He was raised in a muggle orphanage because his mother died giving birth to him. He then killed his father and grandparents because they were scum muggles that he hated. He lost all of his powers when he tried to kill Harry Potter, and got them back in Book 4. He was then at large in Books 5 and 6. There was a prophecy made about him that Harry Potter was the only one that could kill him; saying that neither can live while the other survives. He has 7 horcurx, 2 of which were already destroyed by Harry and Voldemort."
Tom Riddle," The muggle father of Tom Marvolo Riddle (above). He was never in love with Tom’s mother, but was under a love potion. When she took him off the potion he ran away from her, leaving her forever. He was killed by his son, along with the deaths of his parents."
Riddle," The parents of Tom Riddle (above) and the grandparents of Tom Marvolo Riddle. They were killed by their grandson, along with the death of their son."
Harvey Ridgebit, A Dragonologist who caught first Peruvian Vipertooth and established world’s largest dragon sanctuary in Romania.
Gawain Robards, Replaced Rufus Scrimgeor as Head of the Auror Office of the Ministry of Magic.
Roberts, A muggle man who was thrown into the air along with his wife and kids at the Quidditch World Cup by death eaters. He was also the muggle who was in charge of the area where the Weasley’s tent was located.
Demelza Robins, A girl on the Gryffindor quidditch team as a chaser in Book 6 who was particularly good at dodging bludgers.
Ronan, A centaur who Harry talked to when he went into the forbidden forest as detention in Book 1. He was also there when he went back into the forest to see Grawp in Book 5.
Augustus Rookwood," A death eater who used to work in the Department of Mysteries. He was betrayed by Karkaroff, and this was how he was found out to be a death eater. He went to Azkaban, but escaped with the mass breakout in Book 5. He fought in the Department of Mysteries in Book 5 for Voldemort."
Druella Rosier, Druella married a great
Evan Rosier, Death Eater killed along with Wilkes by Aurors.
Madam Rosmerta," The owner of the 3 Broomsticks in Hogsmeade. She is said to be quite pretty, and Ron fancies her. In Book 6, she gave Katie the cursed necklace because she was under the imperius curse."
Barry Ryan, Keeper for the Irish National Quidditch team.
Sanguini, A friend of Slughorn’s who was at one of the parties Slughorn threw.
Carmilla Sanguina, A vampire who bathed in blood to retain her beauty.
Savage," An aurora who is stationed in Hogsmeade in Book 6 along with Tonks, Savage, Proudfoot, and Dawlish."
Almerick Sawbridge, Conquered a troll that caused trouble at the Wye River.
Scabior," One of the “snatchers” who captured Harry, Ron, Hermione, Dean Thomas, and Griphook and took them to the Malfoy mansion."
Newton (Newt) Artemis Fido Scamander," Born in 1897 as the son of a hippogriff breeder (which is where he got his taste for magical creatures). He joined the Ministry of Magic in the Department for the Regulation and Control of Magical Creatures, working as a House"
Porpentina Scamander, The wife of Newt Scamander who lives in Dorset and have pet kneazles.
Rolf Scamander, A famous naturalist who is the grandson of Newt Scamander and he marrys Luna Lovegood.
Bruno Schmidt, A child from Germany who killed an Erkling by hitting it over the head with a cauldron (erklings lure in children with their screeches).
Rufus Scrimgeour, Former Head of the Aurora Office of the Ministry of Magic who replaced Cornelius Fudge as minister of magic. Was murdered in Deathly Hallows.
Brutus Scrimgeour," Author of The Beater’s Bible. (may be related to Rufus Scrimgeour, above)"
Selwyn, A Death Eater who gave his wand to Voldemort and was later seen at Xenophilius Lovegood house when he claimed to have captured Harry. The Selwyns are a well
Kingsley Shacklebolt," A tall black aurora who has a deep voice and in the Order of the Phoenix. He was in charge of the hunt for Sirius Black, leading them on saying that he was hiding somewhere far away (where he knew he was in Grimmauld Place). He was part of the Advanced Guard that came to get Harry from the Dursley’s house in Book 5. Fought in the Department of Mysteries in Book 5, and is the muggle Prime Minister’s secretary (for safety of him). Was made the temporary, then permanent Minister for Magic at the end of Deathly Hallows. His lynx patronus saved many people at Bill and Fleurs wedding when he warned of the Death Eaters approaching."
Derwent Shimpling, A wizard comedian who ate an entire Venemous Tentacula as a bet and survived.
Gaspard Shingleton, Inventor of the Self
Stan Shunpike, Conductor of the knight bus who pretended to be the youngest minister of magic he wasn’t to impress a veela. He was arrested in Book 6 on charges of working with the death eaters.
Aurora Sinistra, The female Astronomy teacher at Hogwarts.
Rita Skeeter," A reporter for the daily prophet who wrote horrible stories about Harry in Book 4. She was banned from Hogwarts, but still got stories from it. She was discovered by Hermione Granger to be an animagus as a beetle. Hermione told her that if she wrote any more stores she would tell the Ministry that she was an animagus. Hermione forced her to write a good story about Harry in Book 5, which changed the view of many wizards about Harry."
Harold Skively," Wrote to the Daily Prophet, and suggested that the Wizarding community celebrate a day to honor Merlin, because he could use an extra holiday in August."
Wilbert Slinkhard, Author of Defensive Magical Theory that was assigned for Umbridge in Book 5.
Jack Slooper, Replaces one of the Weasley twins position of beater on the Gryffindor team after they are given a lifelong ban on playing by Umbridge.
Horace Slughorn, The potions teacher in Book 6 after Snape becomes Defense Against the Dark Arts teacher. He has a special group called the Slug Club that consists of his favorite students. He has great connections to students who used to be in the slug club. He came out of retirement thinking he would be safe at Hogwarts (after Harry convinced him to). Former head of Slytherin House (and probably the new one in Book 7).
Salazar Slytherin," One of the founders of Hogwarts who preferred pure blood and cunning students among the rest. He left the school before it was finished being done, due to a row he had with Godric Gryffindor. He was a parselmouth who, before leaving, made a secret chamber called the Chamber of Secrets. Legend said that only the heir to Slytherin would be able to open it and release the monster within (and the legend turned out to be true)."
Veronica Smethley, A fan of Lockhart who wrote him letters.
Elliot Smethwyk, Created the cushioning charm for the broomsticks.
Hippocrates Smethwyk, Keeper in charge of the Dai Llewellyn ward at St. Mungo’s.
Leopoldina Smethwyk, First British witch to referee a quidditch game.
Hepzibah Smith," A witch who had Tom Riddle over to her house many times, usually on business (Tom them worked in Borgin and Burkes). She showed him a silver cup with 2 finely wrought handles, and said that it belonged to Helga Hufflepuff, and that she was the heir to Hufflepuff. She also showed him a golden locket that had a S with serpent letters that had belonged to Salazar Slytherin. She died 2 days after this after supposedly being murdered by her house elf Hokey, and her 2 items were missing (But was really Tom Riddle who killed her for her special items and then taken them)."
Zacharias Smith," A Hufflepuff boy who is the chaser for the Hufflepuff quidditch team. He is also a member of the D.A. Ron, Fred, George, and Harry do not like him very much for his attitude. He was also the announcer for a Slytherin"
Tobias Snape, The muggle father of Severus Snape.
Snowy, One of Mrs. Figg’s cats.
Snuffles," The name that Sirius tells Harry, Ron, and Hermione to call him when they are talking to him in public."
Alicia Spinett," A Gryffindor girl two years older than Harry who was on the reserve team for quidditch the year before Harry came to Hogwarts, and on the Quidditch team from books 1 through 5. She was also a member of the D.A."
Phyllida Spore, Author of One Thousand Magical Herbs and Fungi.
Pomona Sprout, Head of Hufflepuff house and teacher of Herbology.
Erica Stainwright, 1950s housekeeping guru who made fortune selling ‘cleaning’ potions that really generated more mould and grime.
Blenheim Stalk, Author of “Muggles Who Notice” and is an expert on Muggles.
Hesper Starkey, A witch who studied how different phases in the moon affects potions.
Stebbins, A student who gets in trouble after overhearing Karkaroff talk to Snape in Book 4.
Stebbins, A student in James Potter’s year who Professor Flitwick specifically tells to put down his quill after the O.W.L. is over (Harry sees this in the pensive). This may perhaps be the father of the Stebbins above.
Patricia Stimpson, A witch in Fred and George’s year who had a breakdown during her O.W.L.
Edgar Stroulger, Inventor of the Sneakoscope.
Miriam Strout," The healer in charge of the Janus Thickey ward at St. Mungo’s In this ward are Lockhart, Bode, Agnus (the lady with all the hair that barked like a dog), and Alice and Frank Longbottom. She was charged by the Ministry of Magic after Bode died in his bed after being strangled by a Devil’s Snare plant. She was suspended on pay."
Grogan Stump," Minister of Magic in 1811. He said that a being is anything that can understand wizarding laws. He then created 3 main departments for the Department for the Regulation and Control of Magical Creatures, which were Being, Beast, and Spirit."
Felix Summerbee, Inventor of the cheering charm (and perhaps had something to do with the lucky potion; Felix Felicis
Summberby, The Hufflepuff seeker after Cedric Diggory died.
Summers, A boy who ended up in the hospital wing after trying to take aging potion to get across Dumbledore’s age line to enter the Triwizard Tournament in Book 4.
Havelock Sweeting, An expert on unicorns.
Emeric Switch, Author of A Beginner’s Guide to Transfiguration.
Jocunda Sykes, First person to fly over the Atlantic on a Broom.
Tatting, One of the owners of a wizarding dress shop Twilfitt and Tatting’s. (though not confirmed).
Tenebrus, The first thestral that was born in the forbidden forest.
Janus Thickey," A wizard who wrote a note to his wife telling her that he had been eaten by a lethifold, where he was actually living with another women not far away. There is also a ward in St. Mungo’s named after him."
Pius Thicknesse," Head of the Department of Magical Law Enforcement until the death of Rufus Scrimgeour, after which he became Minister for Magic. He had been placed under the Imperius Curse by the Death Eater Yaxley earlier in the summer, which meant that control of the Ministry was effectively in the hands of Voldemort."
Dean– Dean Thomas is a half Thomas,"blood who is in Harry’s year (and also in Gryffindor, meaning that he shares a dormitory with Harry). His true biography is never described in the books. His father was a wizard (though Dean and his mother never knew it) who walked out on him and his mother when he was young. His mother then remarried and had other children. Dean was raised by his mother and his step father. His true father was killed by death eaters after refusing to give them information. (Thomas may not be his real name, Dean’s name may be the name of his father or his step father) He is the best friend of Seamus Finnigan, and is a member of the D.A. He played chaser for a while in Book 6 while Katie Bell was in the hospital wing. He is also a good artist. He was also dating Ginny Weasley in part of Book 6."
Thomas," The father of Dean Thomas who never told his wife that he was a wizard. He walked out on his family when Dean was young and was killed by death eaters, after refusing to give them information."
Orsino Thruston, Plays drums in the wizarding band The Weird Sisters.
Thaddeus Thurkell, Has 7 squib sons and turned them into hedgehogs.
Tibbles, Mrs. Figg’s cat who she put on the lookout to keep watch of Harry Potter.
Tiberius, (Tibirius may be first or last name). The uncle of Cormac McLaggen who was in the Slug Club when he attended Hogwarts. Seems to be friends of people of high ranks in the ministry; including Rufus Srimgeour (and a wizard by the name of Bertie Higgs). Works in the ministry of magic.
Agatha Timms, Made a bet with Ludo Bagman at the Quidditch world cup.
Tofty," A wizard who is a member of the group that examines students for their O.W.L.’s. He tests Harry in Astronomy, Charms, Defense Against the Dark Arts and History of Magic. He appeared to be the oldest one there."
Tilly Toke," Saved a beach of muggles from a dragon, and then swiped their memories afterward. He was awarded an Order of Merlin First class for this."
Tom, The innkeeper at the Leaky Cauldron.
Andromeda Tonks," Sirius Black’s favorite cousin and mother of Nymphadora Tonks (maiden name Black). Married a muggle man Ted Tonks, and was removed from the family tree. She is the sister of Bellatrix Lestrange and Narcissa Malfoy."
Nymphadora Tonks," Preferred to be called Tonks, and is a Metamorphmagus (meaning that she can change her appearance at will). She is an auror who works for the ministry of magic and is also a member of the Order of the Phoenix. She was part of the Advanced Guard that came to get Harry from the Dursleys in Book 5. She is Sirius Black’s first cousin once removed. She is a young witch (probably in her twenties). She fought in the Department of Mysteries in Book 5 and was injured. After the death of Sirius she changed a lot. She was a lot more depressed and her patronus changed. Harry thought that the reason for this was that she had been in love with Sirius. The truth was that she had fallen in love with Remus Lupin, but he did not want her to be with him; saying that he was too old, too poor, and too dangerous because he is a werewolf. Married Lupin in Deathly Hallows and had a son Teddy Lupin but was murdered in Deathly Hallows by her aunt Bellatrix Lestrange."
Ted Tonks," The muggle father of Nymphadora Tonks and the husband of Andromeda Tonks. According to his daughter, he is a slob. He had fair hair and a large stomach. Was killed in Harry Potter and the Deathly Hallows."
Alberta Toothill, A famous duelist.
Tilden Toots, Radio Personality You can listen to Toots’ radio show by turning on the radio in the “Extras” page of JKR’s website.
Kenneth Towler, A boy who Fred and George played a joke on in their O.W.L. year.
Travers, One of the death eaters who killed Marlene McKinnon and her family.
Cassandra Trelawney, A famous seer and great
Sibyll Trelawney," The Divination teacher at Hogwarts who made the prophecy about Harry and Voldemort; which she said to Dumbledore while in an interview for the job as Divination teacher. She was hired and worked at Hogwarts for sixteen years (as of Book 6). She does not seem very good at what she teaches, except for her few prophecies that she has made. She was fired by Umbridge in Book 5, but was later given the job back in Book 6."
Donaghan Tremlett, The muggle born bass player for the wizarding band The Weird Sisters.
Trevor, The toad of Neville Longbottom.
Quentin Trimble, Author of The Dark Forces: A Guide to Self Protection.
Troy, A chaser on the Irish National Quidditch Team.
Tufty, One of Mrs. Figg’s cats.
Sacharissa Tugwood, The first to use beauty potions. She was also the founder of bubotuber pus to use on pimples.
Lisa Turpin,  A girl in Harry’s year who was sorted into Ravenclaw in Book 1.
Mallory Twiddle," Mallory Twiddle wrote a letter to the Daily Prophet, complaining that Gringotts was using Sphinxes to guard its high security vaults. He had encountered one and had spent an hour trying to figure out its riddles. Eventually, the Sphinx chased him out of the bank."
Twilfitt, One of the owners of a wizarding dress shop Twilfitt and Tatting’s. (though not confirmed).
Norvel Twonk, Was killed saving a muggle child from a manticore.
Wilkie Twycross, The ministry apparation instructor.
Ugga, Played quidditch for a Yorkshire team.
Dolores Jane Umbridge," Previous to being the Defense Against the Dark Arts teacher at Hogwarts in Book 5, she worked for Cornelius Fudge, minister of magic. She first started out as a teacher at Hogwarts, and then was made the High Inquisitor by Fudge. They then made up a number of ridiculous educational decrees, the final one being that she was made headmistress of Hogwarts after Dumbledore left. As a teacher, she did not let students use magic in her class (because she thought that they would raid against the ministry). She also gave out rather cruel detentions, making students write on paper with their own blood, which she bewitched the pen to cut the students hand open and the blood came from that. She forced Harry to take him to the weapon that she thought Dumbledore was trying to use against the ministry. Harry and Hermione brought her to Grawp (the giant) and the centaurs came and ran her away. She reappeared in the Ministry of Magic in book 6. She also admitted to being the ones that sent the dementors on Harry in Book 5."
Quintius Umfraville, Wrote The Noble Sport of Warlocks which has descriptions from quidditch in his times.
Uric the Oddball," A very odd wizard who was famous for wearing a jellyfish as a hat, among other odd things."
Urquhart, Slytherin Quidditch captain in HBP.
Cassandra Vablatsky, Seer and author of Unfogging the Future.
Vaisey," Chaser for the Slytherin Quidditch team, but was hit by a Bludger just before the match with Gryffindor in HBP"
Emmeline Vance, She is described as a stately looking witch. A member of the Order of the Phoenix in both wizarding wars. She was part of the advanced guard that brought Harry from the Dursley’s to Grimmauld Place. She was murdered by death eaters in the second wizarding war.
Romilda Vane," A girl with dark eyes and long black hair who likes Harry (is in Ginny’s year). She sent him some sweets with a love potion in them. Hermione told Harry not to eat them, so he didn’t. Ron, however, did eat them a few weeks later (not knowing about the potion). He walked around school for about 1/2 a day thinking he was in love with Romilda."
Herbert Varney, A vampire who drank the blood of women in London in the 1800’s. Was captured and killed by the Department for the Regulation and Control of Magical Creatures.
Septima Vector, Hermione’s Arithmancy teacher at Hogwarts.
Verity, (Verity may be first or last name). A young witch with short blonde hair who works at Weasleys Wizard Wheezes.
Violet, A witch who’s portrait hangs near the great hall. She is a friend of the fat lady and often appears in their portrait.
Vindictus Viridian, Author of Curses and Counter
Lord Voldemort," The name chosen by Tom Riddle to call himself. A Slytherin boy who is heir to Slytherin (real name: Tom Marvolo Riddle) He formed a tight knit group of friends while at Hogwarts that later became his first death eaters. He was probably one of the smarter Hogwarts students ever. He also turned Hagrid in for taking care of the monster in the chamber of secrets, where it was actually him. He then received a special award for services to the school. He was raised in a muggle orphanage because his mother died giving birth to him. He then killed his father and grandparents because they were scum muggles that he hated. He lost all of his powers when he tried to kill Harry Potter, and got them back in Book 4. He was then at large in Books 5 and 6. There was a prophecy made about him that Harry Potter was the only one that could kill him; saying that neither can live while the other survives. He has 7 horcurx, 2 of which were already destroyed by Harry and Voldemort."
Volkov, Beater for the Bulgarian National Quidditch Team.
Vulchanov, Beater for the Bulgarian National Quidditch Team.
Joscelind Wadcock, Chaser for the Puddlemere United quidditch team.
Adalbert Waffling, Author of Magical Theory.
“Honest Willy” Wagstaff, Street peddler who was accused by the Ministry of selling defective wands in Diagon Alley. The wands caused burns to a number of people. Wagstaff was also accused of selling loose
Myron Wagtail, Lead singer in the wizarding band the weird sisters.
Celestina Warbeck, A witch singer who Mrs. Weasley is a fan of (and Fleur Delacour hates). She is a singer for the WWN.
C Warrington," The chaser on the Slytherin Quidditch team. He was at least 17 in book 4, because he entered his name in the Goblet of Fire. He is described by Dean Thomas as being a sloth. He checked out quidditch through the ages (due back December 5th)."
Fabius Watkins, Captain and Chaser for the Montrose Magpies. Died in freak collision with a helicopter.
Bill Weasley," The oldest son of Molly and Arthur Weasley (and the oldest Weasley child). He used to work in Egypt as a curse breaker for Gringotts Wizarding Bank. Once Voldemort came back, he left Egypt and came to work at the Gringotts in London. He then lived with his parents and was a member of the Order of the Phoenix. He is engaged to Fleur Delacour, and was bitten by a werewolf in Book 6. He may not become a full werewolf, seeing that the werewolf who bit him was in his wizard state at the time. According to Lupin, he may have some wolfish qualities. His face was also severely scarred by the werewolf. He is 9 years older than Ron. He has red hair with a ponytail. While at Hogwarts, he was a prefect and became head boy. He was born on November 29, 1970. He lives at the burrow, along with the rest of his family (excluding his 2 brothers Percy and Charlie, and sometimes his brothers Fred and George live in a flat above their joke shop.)"
Charlie Weasley," The second oldest Weasley child. He lives in Romania and works with Dragons there. He is described to be a bit shorted and broader, like the twins, and of course, he has red hair. He is a member of the Order of the Phoenix, and was born on December 12, 1972 and began Hogwarts in 1984. He was the seeker and captain of the quidditch team before Harry came (he graduated Hogwarts the year before Harry and Ron came). He was also a prefect."
they were mischievous makers at Hogwarts. They started selling things at Hogwarts; such as ways to get out of class and other practical jokes. They were also the beaters on the Gryffindor quidditch team from Books 1 through 5 (they were thrown off in Book 5 by Umbridge). After they leave Hogwarts (literally leave and twin brothers. Together Fred and George– The 3rd and 4th children of Arthur and Molly Weasley Weasley," jumped on their broomsticks and flew away because they hated Umbridge) they started their joke shop with the money that Harry Potter gave them (1,000 galleons"
Percy Weasley," The 3rd oldest Weasley child who is very focused on his career. Even at Hogwarts, he was a prefect and head boy, taking his duties very seriously. He is tall with red hair. He has a major fight with his father in Book 5 about the return of Voldemort (Percy thought his father was lying). He left the house, and did not talk to his family all that year. He returned in Book 6 to his family after seeing that Harry was not lying about Voldemort being back. He used to work for Barty Crouch Sr. (who knew Percy as Whetherby). He was questioned about the where"
Ronald (Ron) Weasley," The second youngest child in the Weasley family and the youngest boy. He is the best friend of Harry Potter, and goes with him on almost all of his adventures. He lives at the Burrow and often has Harry over to stay. He, like Harry, greatly dislikes Draco Malfoy. He has red hair like the rest of his family and is terrified by Spiders. He was one of the first people to join the D.A. and fought in the department of mysteries in Book 5. He is keeper for the Gryffindor Quidditch Team in Book 5. He is tall, thin, and has freckles. It has always been a bit obvious that he likes Hermione Granger, but he dated Lavender Brown in Book 6. They broke up near the end of the book, and he and Hermione seemed to get along better than ever."
Bilius Weasley," Last name is probably either Weasley or Prewett, but he is the uncle of Ron Weasley who saw the grim and died within 24 hours."
Fleur (Delacour) Weasley, See Fleur Delacour
Grandfather Weasley," Not sure if his last name was either Weasley or Prewett, but he gave Ron his chess set."
Hermione (Granger) Weasley, See Hermione Granger
Mafalda (Weasley), Last name is not Weasley. She was a distant cousin of Ron who was in Slytherin House. (She was cut from Book 1).
Second Cousin (Weasley)," The second cousin of Molly (last name is not Weasley, but a name is not given, so we put him here). His daughter Mafalda is in Slytherin (She was cut from the 1st book)."
Septimus Weasley," The husband of Cedrella Black, father of Arthur Weasley."
Weatherby, The name that Mr. Crouch Sr. calls Percy Weasley.
Dorcas Wellbeloved, Founder of the Society for Distressed Witches.
Wendelin the Weird," A witch who enjoyed being burned at the stake, so she let people see her do magic, and then put a charm around her so she would not die in the flames."
Bridget Wenlock," First to discover the magical properties of the number 7. J.K. Rowling’s wizard of the month for August, 2005."
Gilbert Whimple, A wizard who works for the Committee on Experimental Charms (he has horns on his head
Kennilworthy Whisp," Author of Quidditch Through the Ages, The Wonder of Wigtown Wanderers, He Flew like a Madman, and Beating the Bludgers"
Kevin Whitby, A boy sorted into Hufflepuff in Book 4.
Devlin Whitehorn, Founder of the Nimbus Broom Company.
Samson Wiblin, A duelist who lost All
Willy Widdershins," A wizard who set up regurgitating toilets in book 5. He later in the book tipped off Umbridge that there was a meeting held for the D.A. there, therefore not being sent to prison."
Wilhelm Wigworthy, Author of Home Life and Social Habits of British Muggles.
Ignatia Wildsmith, Invented floo powder.
Wilfred the Wistful, There is a statue of him in Hogwarts.
Wilkies, A death eater who was killed by aurors.
Will," Stole toads from another wizard. Mundungus Fletcher then stole them from him, and sold them back to him, making quite a profit."
Benjy Williams, Seeker for Puddlemere United
